True_Label,Original_Probability,Platt_Scaling,Isotonic_Regression
0.0,0.028227245435118675,0.04247791007493724,0.03664921596646309
1.0,0.8702641129493713,0.8516166346670284,0.7910447716712952
0.0,0.0026391777209937572,0.036857798240699964,0.0
1.0,0.4821454584598541,0.37894705209385954,0.5625
1.0,0.023707067593932152,0.04142876976770475,0.03664921596646309
0.0,0.014870792627334595,0.039449046227989046,0.008547008968889713
0.0,0.0029916439671069384,0.03693012405406955,0.0
0.0,0.048313967883586884,0.04745455740026554,0.059907834976911545
0.0,0.048909060657024384,0.04761014334661228,0.059907834976911545
0.0,0.031848177313804626,0.04333660280114097,0.03664921596646309
0.0,0.03638830780982971,0.044436709978491994,0.04790419340133667
0.0,0.03069482184946537,0.04306130472495103,0.03664921596646309
0.0,0.038847487419843674,0.045043655462246104,0.04790419340133667
0.0,0.008677241392433643,0.03811582587933894,0.008547008968889713
0.0,0.011174626648426056,0.0386481244496387,0.008547008968889713
0.0,0.011358682997524738,0.03868763573137601,0.008547008968889713
0.0,0.053066398948431015,0.048710662969411136,0.0833333358168602
0.0,0.0037729821633547544,0.03709094099763519,0.0
0.0,0.045443806797266006,0.046710920187732964,0.059907834976911545
0.0,0.04954580217599869,0.04777715489964451,0.059907834976911545
0.0,0.006676016841083765,0.037694368578786656,0.005376344081014395
0.0,0.00280146230943501,0.03689108198129582,0.0
0.0,0.0723695158958435,0.0541438448853226,0.08644859492778778
0.0,0.015606414526700974,0.03961033642524844,0.008547008968889713
0.0,0.005265708081424236,0.03740005133678353,0.0027777778450399637
0.0,0.25679874420166016,0.14241428990621322,0.22926829755306244
0.0,0.016979984939098358,0.03991319515980264,0.008547008968889713
0.0,0.0312587134540081,0.04319569250734671,0.03664921596646309
0.0,0.015600583516061306,0.03960905545322623,0.008547008968889713
0.0,0.051449965685606,0.048279926009919,0.0833333358168602
0.0,0.029027195647358894,0.042666205407875635,0.03664921596646309
0.0,0.02920607477426529,0.04270841963049432,0.03664921596646309
0.0,0.04839886352419853,0.04747672363426236,0.059907834976911545
0.0,0.01890961267054081,0.040342410152637315,0.012195122428238392
0.0,0.023242434486746788,0.04132234350645557,0.03664921596646309
0.0,0.011496270075440407,0.03871719679746523,0.008547008968889713
0.0,0.023127369582653046,0.04129602782620595,0.03664921596646309
0.0,0.08621178567409515,0.05838661524031818,0.09803921729326248
0.0,0.03983157128095627,0.0452887417148535,0.04790419340133667
0.0,0.03832285851240158,0.04491351349820533,0.04790419340133667
0.0,0.051368046551942825,0.04825819324885732,0.0833333358168602
1.0,0.17307764291763306,0.09288862253876241,0.19130434095859528
0.0,0.008611341938376427,0.03810187568916475,0.008547008968889713
0.0,0.03852080553770065,0.04496257503941149,0.04790419340133667
0.0,0.002550287637859583,0.03683957958203268,0.0
0.0,0.18481169641017914,0.09875805651565986,0.19130434095859528
0.0,0.033598896116018295,0.043757700640678826,0.03664921596646309
0.0,0.04506061226129532,0.04661247980638394,0.059907834976911545
0.0,0.02138589136302471,0.04089969970457316,0.016393441706895828
1.0,0.13057322800159454,0.0741704731960585,0.1627907007932663
0.0,0.21277667582035065,0.11409229630966436,0.22926829755306244
0.0,0.17850659787654877,0.09556426916788563,0.19130434095859528
0.0,0.018414204940199852,0.04023179454343248,0.012195122428238392
0.0,0.008709218353033066,0.038122596817907445,0.008547008968889713
0.0,0.07838065922260284,0.055949387846866566,0.08644859492778778
0.0,0.015856727957725525,0.03966536341373948,0.008547008968889713
0.0,0.008045926690101624,0.03798238485622528,0.008547008968889713
1.0,0.1506332904100418,0.08252844309932117,0.1627907007932663
0.0,0.03566524758934975,0.04425974131432284,0.03846153989434242
0.0,0.06632189452648163,0.05238287707685671,0.08644859492778778
0.0,0.020073307678103447,0.040603389312360835,0.016393441706895828
1.0,0.3136180341243744,0.1873604267882622,0.25974026322364807
0.0,0.06801239401102066,0.052869600592127544,0.08644859492778778
0.0,0.016153637319803238,0.03973072871643424,0.008547008968889713
0.0,0.08453841507434845,0.05785759561074944,0.09803921729326248
0.0,0.4209739863872528,0.3000036110773518,0.29538995027542114
0.0,0.029602892696857452,0.04280220837278517,0.03664921596646309
0.0,0.02122420445084572,0.04086308804753743,0.016393441706895828
0.0,0.019569119438529015,0.04049011827392838,0.016393441706895828
0.0,0.08981943130493164,0.05954260691724735,0.1304347813129425
0.0,0.03116757981479168,0.04317394625595938,0.03664921596646309
1.0,0.019772712141275406,0.04053582097686601,0.016393441706895828
0.0,0.03272777050733566,0.04354768425020037,0.03664921596646309
0.0,0.02125306986272335,0.04086962189997121,0.016393441706895828
0.0,0.08500014245510101,0.058003115096713166,0.09803921729326248
0.0,0.0066007343120872974,0.03767860180090897,0.005376344081014395
1.0,0.009675907902419567,0.038327833924307136,0.008547008968889713
0.0,0.004305840935558081,0.03720100125340311,0.0
0.0,0.06037397310137749,0.05070382008219355,0.08644859492778778
0.0,0.010209955275058746,0.03844167162111159,0.008547008968889713
0.0,0.24297767877578735,0.13294159602231567,0.22926829755306244
0.0,0.006798484828323126,0.037720031176661804,0.005376344081014395
0.0,0.04021615535020828,0.045384867246775644,0.04790419340133667
0.0,0.027046186849474907,0.04220135914904666,0.03664921596646309
1.0,0.39766401052474976,0.2725161174846509,0.25974026322364807
0.0,0.001680180081166327,0.03666170155612534,0.0
0.0,0.015025351196527481,0.03948288192075838,0.008547008968889713
0.0,0.010592824779450893,0.038523483895715756,0.008547008968889713
0.0,0.026868874207139015,0.04215998935901908,0.03664921596646309
1.0,0.8939677476882935,0.8680955516668254,0.800000011920929
0.0,0.029238933697342873,0.04271617844354022,0.03664921596646309
0.0,0.3470754325389862,0.21856654832496472,0.25974026322364807
0.0,0.021632200106978416,0.04095553311267129,0.016393441706895828
0.0,0.06897379457950592,0.053148305786614086,0.08644859492778778
0.0,0.11045002937316895,0.06657484381521259,0.1304347813129425
0.0,0.04116222262382507,0.04562216131820689,0.04790419340133667
0.0,0.004772166255861521,0.037297576790895993,0.0027777778450399637
1.0,0.8947191834449768,0.8685916542852696,0.800000011920929
0.0,0.012415479868650436,0.038915249137514145,0.008547008968889713
0.0,0.22266587615013123,0.11999308799498243,0.22926829755306244
0.0,0.002358541823923588,0.036800309392487844,0.0
1.0,0.8392226696014404,0.8275090326576432,0.7910447716712952
0.0,0.04536261409521103,0.04669004577490739,0.059907834976911545
0.0,0.005016590002924204,0.03734829294124071,0.0027777778450399637
0.0,0.054062098264694214,0.04897780280414891,0.0833333358168602
0.0,0.008636209182441235,0.038107139235292305,0.008547008968889713
0.0,0.004587792791426182,0.037259364446291555,0.0027777778450399637
0.0,0.006353580392897129,0.03762688372001293,0.005376344081014395
0.0,0.03153519332408905,0.04326172997236633,0.03664921596646309
0.0,0.01557798683643341,0.03960409172935016,0.008547008968889713
0.0,0.03568899631500244,0.04426554311416923,0.03846153989434242
0.0,0.008960804902017117,0.038175909141312525,0.008547008968889713
0.0,0.00709463469684124,0.03778215740032495,0.005376344081014395
0.0,0.009475646540522575,0.038285229651478,0.008547008968889713
0.0,0.015277531929314137,0.03953814863912032,0.008547008968889713
0.0,0.10222720354795456,0.06368396728011665,0.1304347813129425
0.0,0.06303919851779938,0.051449801460341976,0.08644859492778778
0.0,0.0030847331508994102,0.03694924865750335,0.0
0.0,0.012559554539620876,0.038946379364652416,0.008547008968889713
0.0,0.0031405407935380936,0.03696071856226668,0.0
0.0,0.12902529537677765,0.07355895730259622,0.1627907007932663
0.0,0.03204188868403435,0.043383004891195294,0.03664921596646309
0.0,0.007193549536168575,0.03780292961557588,0.005376344081014395
0.0,0.023891320452094078,0.041471046276586244,0.03664921596646309
0.0,0.017852550372481346,0.04010673868317438,0.010204081423580647
0.0,0.07245026528835297,0.05416773126233888,0.08644859492778778
0.0,0.019056513905525208,0.04037526651533755,0.012195122428238392
0.0,0.11949392408132553,0.06989481827245043,0.1304347813129425
0.0,0.011028029024600983,0.03861668212488179,0.008547008968889713
0.0,0.0742798000574112,0.05471159293562095,0.08644859492778778
0.0,0.010112978518009186,0.038420975934775024,0.008547008968889713
0.0,0.1960221827030182,0.10467176212701876,0.19130434095859528
1.0,0.9447500109672546,0.8982096222488904,0.800000011920929
0.0,0.024636417627334595,0.04164242887244578,0.03664921596646309
1.0,0.016628198325634003,0.03983541891827452,0.008547008968889713
1.0,0.9856587052345276,0.9178685094128044,0.9411764740943909
0.0,0.009472635574638844,0.0382845894356222,0.008547008968889713
1.0,0.7919769287109375,0.7850318518178356,0.6323529481887817
0.0,0.01209994126111269,0.03884715406560512,0.008547008968889713
0.0,0.008128587156534195,0.03799983124017779,0.008547008968889713
0.0,0.005955397617071867,0.03754370561076425,0.0027777778450399637
0.0,0.03373816981911659,0.04379136710226579,0.03664921596646309
0.0,0.021475045010447502,0.040919900685283304,0.016393441706895828
1.0,0.912997841835022,0.8801784818834172,0.800000011920929
0.0,0.11420445889234543,0.06793492076793925,0.1304347813129425
0.0,0.01609298773109913,0.03971736817842261,0.008547008968889713
0.0,0.0048792618326842785,0.037319790190839204,0.0027777778450399637
0.0,0.011227571405470371,0.03865948610359985,0.008547008968889713
0.0,0.13561008870601654,0.07619279587348658,0.1627907007932663
0.0,0.005571303889155388,0.037463638074886424,0.0027777778450399637
0.0,0.05751736834645271,0.049915645814732346,0.08644859492778778
0.0,0.014711890369653702,0.03941428861181848,0.008547008968889713
0.0,0.053918976336717606,0.048939318753734376,0.0833333358168602
0.0,0.0042723361402750015,0.0371940717059391,0.0
0.0,0.0029836399480700493,0.03692848012181151,0.0
0.0,0.0009265181142836809,0.03650829674688094,0.0
1.0,0.9845350980758667,0.9173780208959424,0.9411764740943909
0.0,0.02650407887995243,0.042074998850837604,0.03664921596646309
0.0,0.052098214626312256,0.04845223133755469,0.0833333358168602
0.0,0.011505171656608582,0.03871911007983126,0.008547008968889713
1.0,0.026519570499658585,0.04207860477654951,0.03664921596646309
0.0,0.017336824908852577,0.039992237324757166,0.008547008968889713
0.0,0.012585322372615337,0.03895194954090793,0.008547008968889713
1.0,0.024530908092856407,0.04161811911723221,0.03664921596646309
0.0,0.013922631740570068,0.03924208423886835,0.008547008968889713
0.0,0.02810049057006836,0.042448147008590974,0.03664921596646309
0.0,0.010531620122492313,0.038510394355136784,0.008547008968889713
0.0,0.018161671236157417,0.0401755201957238,0.010204081423580647
