feature,importance
"labvalues_bilirubin,_total_mean",5.048583507537842
"labvalues_calcium,_total_first",5.017760753631592
labvalues_red_blood_cells_mean,4.9982686042785645
labvalues_platelet_count_max,4.995837211608887
biometrics_bmi,4.979290008544922
labvalues_creatine_kinase_(ck)_mean,4.856218338012695
labvalues_base_excess_mean,4.84334659576416
labvalues_pco2_min,4.662540435791016
vitals_sbp_median,4.642789840698242
labvalues_rdw_first,4.563287258148193
labvalues_sodium_mean,4.549717903137207
labvalues_bicarbonate_first,4.546204090118408
labvalues_neutrophils_std,4.525421142578125
labvalues_bicarbonate_last,4.505288600921631
labvalues_oxygen_saturation_coeff,4.4654130935668945
labvalues_glucose_min,4.449901580810547
labvalues_inr(pt)_max,4.423957347869873
labvalues_lymphocytes_std,4.384073734283447
labvalues_eosinophils_max,4.380870819091797
vitals_dbp_first,4.371641159057617
labvalues_alkaline_phosphatase_mean,4.359817028045654
labvalues_magnesium_last,4.337600231170654
labvalues_lactate_mean,4.317697048187256
vitals_resprate_min,4.299789905548096
labvalues_hemoglobin_min,4.289383888244629
labvalues_hematocrit_coeff,4.2879180908203125
vitals_resprate_first,4.25625467300415
labvalues_bicarbonate_mean,4.198171615600586
labvalues_white_blood_cells_mean,4.1958231925964355
labvalues_carboxyhemoglobin_min,4.140477657318115
labvalues_white_blood_cells_coeff,4.112213134765625
biometrics_height_m,3.9963037967681885
labvalues_inr(pt)_mean,3.9941396713256836
labvalues_sodium_first,3.9551262855529785
"labvalues_creatine_kinase,_mb_isoenzyme_mean",3.883936882019043
vitals_o2sat_max,3.8637053966522217
labvalues_asparate_aminotransferase_(ast)_max,3.84342622756958
labvalues_phosphate_min,3.8149335384368896
labvalues_glucose_last,3.793159008026123
"labvalues_bilirubin,_total_max",3.7213363647460938
labvalues_lymphocytes_max,3.705134868621826
vitals_heartrate_coeff,3.626926898956299
labvalues_absolute_lymphocyte_count_mean,3.595529317855835
labvalues_alanine_aminotransferase_(alt)_mean_m,3.584838628768921
vitals_resprate_max,3.576956272125244
labvalues_oxygen_saturation_first,3.5689697265625
vitals_resprate_mean,3.558819055557251
"labvalues_calcium,_total_max",3.526893377304077
labvalues_oxygen_saturation_std,3.4605839252471924
labvalues_creatinine_max,3.4161460399627686
labvalues_oxygen_saturation_rate_change,3.3760173320770264
labvalues_base_excess_coeff,3.35546875
labvalues_hemoglobin_std,3.343966245651245
labvalues_pco2_std,3.341992139816284
vitals_temperature_mean_m,3.3265411853790283
labvalues_white_blood_cells_last,3.1323909759521484
labvalues_potassium_first,3.062774419784546
labvalues_platelet_count_last,3.0060391426086426
labvalues_pco2_max,2.823103904724121
labvalues_glucose_mean,2.7361228466033936
labvalues_eosinophils_mean,2.729396104812622
labvalues_sodium_last,2.6354827880859375
labvalues_alanine_aminotransferase_(alt)_mean,2.4855198860168457
labvalues_ptt_std,2.449951171875
labvalues_sodium_std,2.41796875
labvalues_chloride_max,2.2882728576660156
labvalues_ptt_last,2.2343406677246094
labvalues_absolute_basophil_count_mean_m,1.718349814414978
labvalues_platelet_count_std,1.6756372451782227
labvalues_absolute_eosinophil_count_rate_change_m,1.649409294128418
labvalues_base_excess_mean_m,1.579954981803894
labvalues_oxygen_saturation_mean,1.5652694702148438
labvalues_hemoglobin_mean,1.3345788717269897
labvalues_alanine_aminotransferase_(alt)_min,1.308539628982544
labvalues_potassium_min,1.1696867942810059
labvalues_urea_nitrogen_last,1.0420331954956055
biometrics_height,1.0088343620300293
labvalues_neutrophils_min,0.22563743591308594
labvalues_lymphocytes_min,0.22164344787597656
labvalues_absolute_lymphocyte_count_max,0.20278072357177734
labvalues_neutrophils_max,0.1932058334350586
labvalues_chloride_rate_change_m,0.0
labvalues_creatine_kinase_(ck)_mean_m,0.0
labvalues_creatine_kinase_(ck)_median_m,0.0
labvalues_creatine_kinase_(ck)_min_m,0.0
labvalues_creatine_kinase_(ck)_max_m,0.0
labvalues_creatine_kinase_(ck)_std_m,0.0
labvalues_creatine_kinase_(ck)_first_m,0.0
labvalues_creatine_kinase_(ck)_last_m,0.0
labvalues_creatine_kinase_(ck)_rate_change_m,0.0
labvalues_pco2_last_m,0.0
labvalues_creatine_kinase_(ck)_coeff_m,0.0
labvalues_pco2_first_m,0.0
labvalues_pco2_std_m,0.0
"labvalues_creatine_kinase,_mb_isoenzyme_median_m",0.0
labvalues_pco2_max_m,0.0
labvalues_pco2_min_m,0.0
labvalues_pco2_median_m,0.0
"labvalues_creatine_kinase,_mb_isoenzyme_min_m",0.0
labvalues_chloride_coeff_m,0.0
labvalues_carboxyhemoglobin_mean_m,0.0
labvalues_carboxyhemoglobin_median_m,0.0
labvalues_carboxyhemoglobin_min_m,0.0
labvalues_carboxyhemoglobin_max_m,0.0
labvalues_carboxyhemoglobin_std_m,0.0
labvalues_carboxyhemoglobin_first_m,0.0
labvalues_carboxyhemoglobin_last_m,0.0
labvalues_carboxyhemoglobin_rate_change_m,0.0
labvalues_carboxyhemoglobin_coeff_m,0.0
labvalues_pco2_mean_m,0.0
labvalues_chloride_median_m,0.0
labvalues_chloride_min_m,0.0
labvalues_chloride_max_m,0.0
labvalues_chloride_std_m,0.0
labvalues_chloride_first_m,0.0
labvalues_ph_median_m,0.0
labvalues_pco2_coeff_m,0.0
labvalues_pco2_rate_change_m,0.0
labvalues_chloride_last_m,0.0
labvalues_ph_min_m,0.0
labvalues_eosinophils_min_m,0.0
labvalues_eosinophils_max_m,0.0
labvalues_eosinophils_std_m,0.0
