feature,importance
labvalues_oxygen_saturation_mean,5.038541316986084
"labvalues_calcium,_total_mean",5.027454853057861
labvalues_phosphate_mean,4.983719825744629
vitals_sbp_coeff,4.861272811889648
labvalues_pco2_max,4.854876518249512
labvalues_hemoglobin_min,4.765279769897461
vitals_heartrate_max,4.7090373039245605
"labvalues_calcium,_total_max",4.695174694061279
vitals_resprate_max,4.688215732574463
vitals_dbp_rate_change,4.677487850189209
labvalues_asparate_aminotransferase_(ast)_mean,4.676140308380127
vitals_heartrate_rate_change,4.669945240020752
vitals_resprate_rate_change,4.6633195877075195
labvalues_urea_nitrogen_mean,4.608300685882568
labvalues_neutrophils_mean,4.607157230377197
labvalues_glucose_std,4.584982872009277
labvalues_alkaline_phosphatase_mean,4.483321666717529
labvalues_absolute_basophil_count_mean_m,4.386832237243652
labvalues_potassium_mean,4.370848178863525
labvalues_chloride_mean,4.338413715362549
vitals_sbp_first,4.334932327270508
labvalues_base_excess_rate_change_m,4.3192524909973145
labvalues_glucose_mean,4.300586700439453
labvalues_red_blood_cells_mean,4.289079189300537
labvalues_lactate_mean_m,4.231515884399414
labvalues_troponin_t_mean_m,4.178466796875
labvalues_absolute_basophil_count_mean,4.158605098724365
labvalues_asparate_aminotransferase_(ast)_max,4.069193363189697
labvalues_creatinine_max,3.929664373397827
labvalues_bicarbonate_mean,3.915381669998169
labvalues_lactate_min,3.872499704360962
labvalues_hemoglobin_first,3.8716049194335938
labvalues_ph_min,3.6470155715942383
vitals_temperature_coeff,3.601530075073242
vitals_o2sat_last,3.562659978866577
labvalues_inr(pt)_mean,3.396205186843872
labvalues_eosinophils_mean,3.360382080078125
labvalues_chloride_max,3.3500144481658936
labvalues_magnesium_first,3.2403793334960938
vitals_heartrate_mean_m,3.174816608428955
"labvalues_bilirubin,_direct_mean",3.1690266132354736
labvalues_lactate_mean,2.910186290740967
labvalues_absolute_eosinophil_count_mean,2.8874831199645996
labvalues_carboxyhemoglobin_mean_m,2.877074956893921
labvalues_eosinophils_rate_change_m,2.7452640533447266
labvalues_chloride_min,2.6823806762695312
labvalues_free_calcium_std,2.56201171875
vitals_resprate_min,2.555072784423828
labvalues_chloride_last,2.208867073059082
labvalues_creatinine_mean,1.8542582988739014
vitals_resprate_coeff,1.5927119255065918
labvalues_hemoglobin_std,1.3925145864486694
labvalues_creatinine_min,1.2175846099853516
labvalues_bands_min,1.087618350982666
labvalues_bands_mean,0.892773449420929
labvalues_free_calcium_rate_change,0.78515625
labvalues_ptt_max,0.7742252349853516
labvalues_free_calcium_coeff,0.7734375
"labvalues_calcium,_total_median",0.7044072151184082
labvalues_chloride_last_m,0.0
labvalues_chloride_rate_change_m,0.0
labvalues_chloride_max_m,0.0
labvalues_chloride_min_m,0.0
labvalues_chloride_std_m,0.0
labvalues_chloride_first_m,0.0
labvalues_chloride_coeff_m,0.0
labvalues_creatinine_last_m,0.0
labvalues_creatinine_rate_change_m,0.0
labvalues_creatinine_coeff_m,0.0
labvalues_eosinophils_mean_m,0.0
labvalues_eosinophils_median_m,0.0
labvalues_eosinophils_min_m,0.0
labvalues_eosinophils_max_m,0.0
labvalues_eosinophils_std_m,0.0
labvalues_eosinophils_first_m,0.0
"labvalues_creatine_kinase,_mb_isoenzyme_max_m",0.0
labvalues_eosinophils_coeff_m,0.0
"labvalues_fibrinogen,_functional_median_m",0.0
"labvalues_fibrinogen,_functional_min_m",0.0
"labvalues_fibrinogen,_functional_max_m",0.0
"labvalues_fibrinogen,_functional_std_m",0.0
"labvalues_fibrinogen,_functional_first_m",0.0
"labvalues_fibrinogen,_functional_last_m",0.0
"labvalues_fibrinogen,_functional_rate_change_m",0.0
"labvalues_fibrinogen,_functional_coeff_m",0.0
labvalues_free_calcium_median_m,0.0
labvalues_eosinophils_last_m,0.0
labvalues_creatine_kinase_(ck)_median_m,0.0
labvalues_creatine_kinase_(ck)_min_m,0.0
labvalues_creatine_kinase_(ck)_max_m,0.0
labvalues_creatine_kinase_(ck)_std_m,0.0
labvalues_creatine_kinase_(ck)_first_m,0.0
labvalues_creatine_kinase_(ck)_last_m,0.0
labvalues_creatine_kinase_(ck)_rate_change_m,0.0
labvalues_creatine_kinase_(ck)_coeff_m,0.0
"labvalues_creatine_kinase,_mb_isoenzyme_median_m",0.0
labvalues_creatinine_first_m,0.0
"labvalues_creatine_kinase,_mb_isoenzyme_std_m",0.0
"labvalues_creatine_kinase,_mb_isoenzyme_first_m",0.0
"labvalues_creatine_kinase,_mb_isoenzyme_last_m",0.0
"labvalues_creatine_kinase,_mb_isoenzyme_rate_change_m",0.0
"labvalues_creatine_kinase,_mb_isoenzyme_coeff_m",0.0
labvalues_creatinine_mean_m,0.0
labvalues_creatinine_median_m,0.0
labvalues_creatinine_min_m,0.0
labvalues_creatinine_max_m,0.0
labvalues_creatinine_std_m,0.0
"labvalues_creatine_kinase,_mb_isoenzyme_min_m",0.0
