feature,importance_gain
entropy,2347.0849609375
prob_mortality365d_isotonic,361.0661926269531
prob_mortality365d,247.3054656982422
labvalues_creatinine_max,43.48293685913086
labvalues_platelet_count_last,39.844642639160156
labvalues_lactate_last,39.33547592163086
labvalues_platelet_count_first,37.323394775390625
labvalues_sodium_max,36.99645233154297
labvalues_basophils_max,36.33528137207031
labvalues_urea_nitrogen_max,34.493316650390625
labvalues_platelet_count_max,33.81219482421875
labvalues_rdw_first,31.86701774597168
labvalues_albumin_max,29.423688888549805
labvalues_hemoglobin_mean_m,28.881067276000977
labvalues_urea_nitrogen_last,28.4853458404541
labvalues_glucose_mean_m,25.08145523071289
labvalues_lactate_min,23.943359375
vitals_sbp_min,23.303871154785156
vitals_o2sat_mean_m,22.384910583496094
labvalues_platelet_count_min,22.176469802856445
variance,21.952735900878906
labvalues_platelet_count_mean_m,21.799020767211914
biometrics_weight_m,21.118486404418945
vitals_sbp_mean_m,19.082868576049805
demographics_age,18.647939682006836
labvalues_rdw_mean,18.647676467895508
labvalues_albumin_mean,18.638559341430664
labvalues_hemoglobin_last,18.541141510009766
labvalues_bicarbonate_last,18.44012451171875
labvalues_sodium_mean,17.83497428894043
labvalues_ptt_first,17.70696449279785
labvalues_hematocrit_max,17.642515182495117
labvalues_bicarbonate_max,17.62221336364746
labvalues_white_blood_cells_min,17.489641189575195
vitals_dbp_std,17.418338775634766
labvalues_absolute_basophil_count_max,17.107192993164062
labvalues_urea_nitrogen_mean,16.84050178527832
labvalues_base_excess_mean_m,16.770362854003906
labvalues_lactate_mean,16.719396591186523
vitals_resprate_max,16.60161590576172
labvalues_alkaline_phosphatase_mean,16.42997932434082
labvalues_pco2_last,16.416685104370117
labvalues_hemoglobin_min,16.351652145385742
labvalues_lactate_first,16.12929344177246
biometrics_bmi,16.120834350585938
vitals_o2sat_median,16.027374267578125
labvalues_creatinine_min,16.02283477783203
labvalues_glucose_min,15.795369148254395
labvalues_oxygen_saturation_first,15.617347717285156
demographics_gender,15.54249382019043
vitals_sbp_rate_change,15.448752403259277
labvalues_pt_min,15.12998104095459
labvalues_bands_mean_m,15.097247123718262
labvalues_ptt_max,15.015835762023926
biometrics_bmi_m,14.877531051635742
labvalues_hemoglobin_first,14.826399803161621
labvalues_hematocrit_first,14.701743125915527
labvalues_free_calcium_mean,14.345867156982422
biometrics_height_m,14.324222564697266
labvalues_pco2_rate_change,14.136324882507324
labvalues_hematocrit_min,14.054729461669922
labvalues_glucose_std,13.967547416687012
labvalues_bicarbonate_min,13.856948852539062
labvalues_base_excess_mean,13.8265380859375
labvalues_platelet_count_mean,13.8178129196167
vitals_heartrate_mean_m,13.533599853515625
vitals_dbp_coeff,13.530924797058105
"labvalues_bilirubin,_total_min",13.337879180908203
vitals_resprate_first,13.332647323608398
labvalues_hemoglobin_max,13.219000816345215
labvalues_oxygen_saturation_min,13.201088905334473
vitals_o2sat_coeff,13.161890029907227
labvalues_white_blood_cells_mean,13.098028182983398
labvalues_red_blood_cells_first,13.071647644042969
labvalues_absolute_eosinophil_count_min,13.062409400939941
labvalues_sodium_first,13.029534339904785
labvalues_oxygen_saturation_mean,12.903851509094238
labvalues_creatinine_mean,12.890000343322754
vitals_sbp_std,12.88613224029541
labvalues_inr(pt)_mean,12.82888412475586
vitals_temperature_mean_m,12.700872421264648
labvalues_ptt_mean,12.671792030334473
vitals_resprate_mean_m,12.663013458251953
labvalues_red_blood_cells_rate_change,12.620621681213379
labvalues_white_blood_cells_max,12.620306968688965
"labvalues_creatine_kinase,_mb_isoenzyme_mean",12.605732917785645
vitals_temperature_std,12.500232696533203
vitals_acuity,12.466129302978516
labvalues_base_excess_coeff,12.44638729095459
labvalues_phosphate_min,12.419907569885254
demographics_ethnicity,12.398571014404297
labvalues_eosinophils_max,12.375683784484863
biometrics_height,12.330986022949219
labvalues_pco2_first,12.320884704589844
labvalues_alkaline_phosphatase_max,12.298297882080078
vitals_sbp_median,12.287046432495117
labvalues_alanine_aminotransferase_(alt)_mean,12.256332397460938
labvalues_creatinine_first,12.191094398498535
labvalues_base_excess_last,12.176629066467285
vitals_o2sat_mean,12.135685920715332
vitals_heartrate_rate_change,12.012282371520996
vitals_o2sat_last,11.808316230773926
labvalues_sodium_min,11.780725479125977
labvalues_magnesium_mean,11.76864242553711
labvalues_red_blood_cells_min,11.762958526611328
"labvalues_calcium,_total_mean",11.694796562194824
labvalues_rdw_min,11.686384201049805
biometrics_weight,11.621726036071777
labvalues_pco2_std,11.578908920288086
vitals_o2sat_max,11.556571960449219
labvalues_urea_nitrogen_first,11.535310745239258
labvalues_oxygen_saturation_max,11.526729583740234
labvalues_creatine_kinase_(ck)_mean,11.526358604431152
labvalues_creatinine_last,11.515682220458984
labvalues_white_blood_cells_std,11.487370491027832
vitals_o2sat_min,11.454520225524902
vitals_heartrate_coeff,11.424886703491211
labvalues_pco2_min,11.371749877929688
vitals_heartrate_median,11.370500564575195
labvalues_ptt_min,11.35677719116211
labvalues_base_excess_min,11.308290481567383
labvalues_absolute_lymphocyte_count_rate_change_m,11.200700759887695
labvalues_phosphate_max,11.194947242736816
labvalues_inr(pt)_mean_m,11.164937973022461
labvalues_potassium_last,11.164827346801758
labvalues_absolute_basophil_count_mean_m,11.153156280517578
labvalues_red_blood_cells_max,11.139959335327148
vitals_resprate_std,11.055377960205078
labvalues_alkaline_phosphatase_min,11.019906997680664
labvalues_base_excess_rate_change,10.829841613769531
labvalues_rdw_rate_change,10.81244945526123
vitals_temperature_mean,10.706575393676758
vitals_o2sat_first,10.601811408996582
labvalues_lymphocytes_first,10.56986141204834
labvalues_phosphate_mean,10.493026733398438
vitals_dbp_min,10.419971466064453
labvalues_troponin_t_max,10.397114753723145
labvalues_chloride_first,10.351481437683105
labvalues_asparate_aminotransferase_(ast)_mean,10.333101272583008
vitals_resprate_last,10.251385688781738
vitals_temperature_last,10.237371444702148
labvalues_absolute_lymphocyte_count_mean,10.227689743041992
labvalues_albumin_first,10.214966773986816
labvalues_lactate_std,10.213990211486816
vitals_dbp_last,10.094120979309082
labvalues_glucose_max,10.046996116638184
labvalues_albumin_last,9.991111755371094
vitals_sbp_last,9.964587211608887
labvalues_lymphocytes_min,9.949931144714355
labvalues_basophils_last,9.925113677978516
labvalues_eosinophils_min,9.825881958007812
labvalues_hematocrit_mean_m,9.82073974609375
"labvalues_calcium,_total_mean_m",9.791274070739746
vitals_dbp_max,9.78343391418457
vitals_heartrate_first,9.7832612991333
labvalues_lymphocytes_last,9.770421028137207
labvalues_rdw_last,9.736705780029297
labvalues_hemoglobin_std,9.729445457458496
"labvalues_fibrinogen,_functional_mean",9.692858695983887
labvalues_red_blood_cells_mean,9.681933403015137
vitals_resprate_median,9.643991470336914
vitals_resprate_coeff,9.595083236694336
vitals_dbp_mean,9.588691711425781
vitals_heartrate_std,9.567824363708496
