feature,importance_gain
vitals_heartrate_min,9.877481460571289
biometrics_weight,9.839421272277832
vitals_dbp_rate_change,9.7913179397583
"labvalues_calcium,_total_last",9.7745361328125
vitals_dbp_first,9.77393627166748
labvalues_inr(pt)_max,9.741867065429688
labvalues_albumin_min,9.689830780029297
vitals_o2sat_mean,9.686321258544922
labvalues_base_excess_mean,9.674840927124023
"labvalues_calcium,_total_min",9.653373718261719
labvalues_pt_mean,9.615740776062012
biometrics_height,9.567856788635254
"labvalues_creatine_kinase,_mb_isoenzyme_mean",9.517526626586914
vitals_heartrate_last,9.514647483825684
vitals_resprate_coeff,9.508216857910156
vitals_temperature_max,9.504796981811523
vitals_resprate_mean,9.450301170349121
vitals_temperature_min,9.395559310913086
labvalues_lymphocytes_mean,9.328670501708984
labvalues_alanine_aminotransferase_(alt)_mean,9.225529670715332
labvalues_lymphocytes_min,9.136955261230469
labvalues_glucose_last,9.134859085083008
vitals_resprate_std,9.07555103302002
vitals_heartrate_median,9.001136779785156
labvalues_oxygen_saturation_mean,8.97541618347168
labvalues_platelet_count_last,8.90401554107666
vitals_sbp_max,8.766284942626953
labvalues_phosphate_mean,8.750773429870605
vitals_temperature_mean,8.746689796447754
vitals_dbp_last,8.727187156677246
vitals_o2sat_std,8.680037498474121
vitals_sbp_std,8.643424987792969
labvalues_neutrophils_mean,8.6234130859375
demographics_ethnicity,8.602821350097656
labvalues_potassium_rate_change,8.602066993713379
labvalues_rdw_std,8.597286224365234
demographics_gender,8.578853607177734
labvalues_troponin_t_last,8.57624626159668
vitals_temperature_std,8.566373825073242
labvalues_creatine_kinase_(ck)_mean_m,8.548513412475586
labvalues_hemoglobin_rate_change,8.490964889526367
labvalues_red_blood_cells_max,8.35745906829834
vitals_sbp_first,8.301362037658691
labvalues_red_blood_cells_mean,8.291158676147461
labvalues_glucose_max,8.192238807678223
labvalues_hemoglobin_mean,8.183511734008789
labvalues_chloride_coeff,8.155832290649414
labvalues_absolute_lymphocyte_count_mean,8.082443237304688
vitals_heartrate_mean,8.075287818908691
vitals_dbp_mean,8.052483558654785
labvalues_sodium_min,8.039987564086914
vitals_heartrate_std,8.022806167602539
labvalues_bicarbonate_max,7.935518264770508
labvalues_ptt_mean,7.88852596282959
labvalues_pco2_min,7.880580902099609
labvalues_chloride_mean,7.737860202789307
labvalues_glucose_mean,7.692434310913086
labvalues_bicarbonate_rate_change,7.685913562774658
labvalues_absolute_eosinophil_count_mean,7.6703715324401855
labvalues_urea_nitrogen_rate_change,7.669062614440918
labvalues_potassium_mean,7.613314151763916
vitals_o2sat_last,7.525195121765137
labvalues_bicarbonate_last,7.516810417175293
labvalues_asparate_aminotransferase_(ast)_rate_change,7.476398944854736
labvalues_sodium_max,7.457334041595459
labvalues_alkaline_phosphatase_last,7.441592216491699
labvalues_asparate_aminotransferase_(ast)_std,7.436794281005859
labvalues_phosphate_last,7.398861408233643
vitals_sbp_mean,7.36203670501709
vitals_resprate_first,7.360927581787109
labvalues_glucose_mean_m,7.245990753173828
labvalues_potassium_first,7.22808313369751
vitals_dbp_std,7.213603496551514
labvalues_troponin_t_mean_m,7.194613456726074
labvalues_pt_max,7.12233829498291
labvalues_free_calcium_mean,6.719578742980957
labvalues_sodium_last,6.56798791885376
labvalues_hematocrit_first,6.537549018859863
labvalues_chloride_min,6.445739269256592
vitals_dbp_coeff,6.421459674835205
labvalues_potassium_last,6.4026570320129395
labvalues_chloride_rate_change,6.334214210510254
labvalues_free_calcium_mean_m,6.308016777038574
vitals_resprate_max,6.20772647857666
labvalues_eosinophils_std,6.196571350097656
labvalues_base_excess_rate_change,6.17230749130249
labvalues_absolute_basophil_count_min,6.1366119384765625
labvalues_bands_max,6.001442909240723
