feature,mean_abs_shap
"labvalues_bilirubin,_total_mean_m",0.00055561395
vitals_temperature_min,0.0005484678
vitals_dbp_first,0.0005401434
labvalues_inr(pt)_mean_m,0.00053399935
labvalues_phosphate_last,0.0005165914
vitals_dbp_coeff,0.0005082418
vitals_temperature_median,0.00050037913
labvalues_creatine_kinase_(ck)_max,0.00049824023
labvalues_absolute_basophil_count_mean,0.00049542944
labvalues_base_excess_mean,0.0004945869
"labvalues_calcium,_total_first",0.0004811198
labvalues_c-reactive_protein_mean,0.00047206882
labvalues_eosinophils_first,0.0004672197
vitals_temperature_mean_m,0.0004646424
vitals_dbp_std,0.0004631986
vitals_resprate_coeff,0.00045743844
labvalues_glucose_first,0.0004427609
labvalues_absolute_lymphocyte_count_last,0.0004215769
labvalues_ptt_mean_m,0.00040541386
labvalues_platelet_count_first,0.0004007317
vitals_heartrate_rate_change,0.00039090985
labvalues_phosphate_first,0.00038940337
labvalues_sodium_max,0.00037437407
labvalues_alkaline_phosphatase_mean_m,0.00036508564
labvalues_chloride_last,0.0003621339
biometrics_bmi_m,0.00036092286
labvalues_potassium_last,0.00035777048
vitals_acuity,0.00035304241
labvalues_base_excess_min,0.00033357198
labvalues_bicarbonate_max,0.00033350842
vitals_o2sat_rate_change,0.00033271426
labvalues_glucose_std,0.00033051422
labvalues_eosinophils_max,0.00031395737
labvalues_troponin_t_last,0.0003136205
vitals_resprate_std,0.00030521798
vitals_temperature_first,0.00030300242
labvalues_pco2_mean,0.00029857765
labvalues_pt_max,0.0002960369
labvalues_base_excess_rate_change,0.0002959509
"labvalues_creatine_kinase,_mb_isoenzyme_mean_m",0.00029400122
vitals_temperature_coeff,0.000293684
labvalues_platelet_count_last,0.0002790726
labvalues_pco2_first,0.0002581214
labvalues_creatine_kinase_(ck)_mean_m,0.0002565516
labvalues_white_blood_cells_first,0.00025364722
labvalues_phosphate_max,0.00025262253
labvalues_chloride_first,0.00025056404
vitals_heartrate_mean,0.00024690485
vitals_sbp_coeff,0.00024595158
labvalues_magnesium_min,0.00024101642
labvalues_red_blood_cells_first,0.00024079344
vitals_resprate_median,0.00023598249
labvalues_hematocrit_std,0.00023543404
labvalues_alkaline_phosphatase_max,0.00023537423
labvalues_absolute_eosinophil_count_min,0.00023374167
labvalues_potassium_std,0.00022861351
labvalues_lactate_std,0.00022321667
labvalues_red_blood_cells_min,0.00020492286
labvalues_asparate_aminotransferase_(ast)_min,0.00020420099
labvalues_urea_nitrogen_first,0.00020224301
labvalues_eosinophils_rate_change_m,0.00020030247
labvalues_pco2_max,0.0001916441
labvalues_absolute_lymphocyte_count_max,0.00019159455
labvalues_potassium_rate_change,0.00017938511
vitals_o2sat_std,0.00017853467
labvalues_chloride_max,0.0001770957
labvalues_sodium_first,0.000175848
labvalues_absolute_basophil_count_min,0.00016770604
"labvalues_creatine_kinase,_mb_isoenzyme_mean",0.00015978068
labvalues_asparate_aminotransferase_(ast)_max,0.00015538778
labvalues_basophils_min,0.00015279025
labvalues_bicarbonate_mean_m,0.0001506666
vitals_resprate_min,0.00014686973
labvalues_basophils_max,0.00014553741
labvalues_bands_max,0.0001440941
labvalues_creatine_kinase_(ck)_min,0.00014273991
labvalues_hemoglobin_coeff,0.00013804212
labvalues_lymphocytes_rate_change_m,0.00013561008
