feature,mean_abs_shap
"labvalues_bilirubin,_direct_rate_change_m",0.00055950537
labvalues_platelet_count_mean,0.0005410978
labvalues_white_blood_cells_last,0.0005351887
biometrics_height_m,0.000530552
vitals_o2sat_max,0.0005287579
labvalues_troponin_t_max,0.0005219086
labvalues_alkaline_phosphatase_mean,0.0005107129
labvalues_rdw_coeff,0.0005104301
vitals_temperature_last,0.0004997807
labvalues_inr(pt)_mean_m,0.0004705031
labvalues_sodium_min,0.00047003865
labvalues_white_blood_cells_min,0.0004586033
labvalues_base_excess_rate_change_m,0.00045431883
labvalues_lymphocytes_first,0.00045124692
labvalues_phosphate_mean,0.00044199164
vitals_dbp_max,0.00043259442
labvalues_bands_mean,0.00041107854
labvalues_oxygen_saturation_mean,0.00039450586
labvalues_potassium_coeff,0.00038901294
labvalues_basophils_rate_change_m,0.00037952236
vitals_resprate_median,0.00037553327
labvalues_creatine_kinase_(ck)_mean_m,0.00037528828
labvalues_c-reactive_protein_mean,0.00037500923
labvalues_oxygen_saturation_last,0.00033681575
labvalues_bands_mean_m,0.00033526373
labvalues_sodium_max,0.00032894142
labvalues_creatinine_mean,0.00031987976
labvalues_platelet_count_min,0.00031966847
vitals_sbp_rate_change,0.0003065573
vitals_o2sat_std,0.0003061072
labvalues_chloride_max,0.0003002787
labvalues_potassium_std,0.0002946615
labvalues_creatinine_std,0.0002911485
labvalues_creatinine_rate_change,0.0002859883
"labvalues_fibrinogen,_functional_min",0.00028585715
labvalues_oxygen_saturation_max,0.00028408776
labvalues_glucose_rate_change,0.0002834933
labvalues_potassium_mean,0.00027277065
"labvalues_calcium,_total_first",0.00026803755
vitals_dbp_mean,0.0002662209
labvalues_hemoglobin_min,0.00026000955
vitals_resprate_min,0.0002533029
labvalues_sodium_std,0.000252874
vitals_temperature_min,0.00025260853
labvalues_basophils_max,0.00024188224
labvalues_base_excess_min,0.00022922152
labvalues_base_excess_mean,0.00020935755
labvalues_oxygen_saturation_coeff,0.00018828492
"labvalues_calcium,_total_max",0.00018380393
labvalues_platelet_count_last,0.00016482212
labvalues_absolute_basophil_count_mean,0.00016207922
labvalues_bicarbonate_last,0.00015138512
