feature,importance_gain
labvalues_red_blood_cells_mean,6.18983793258667
vitals_dbp_first,6.110741138458252
labvalues_urea_nitrogen_max,5.80622673034668
vitals_dbp_last,5.57670783996582
labvalues_phosphate_max,5.466950416564941
vitals_heartrate_first,5.441544532775879
labvalues_platelet_count_max,5.409937381744385
vitals_o2sat_coeff,5.336160182952881
vitals_o2sat_mean,5.334766387939453
vitals_temperature_last,5.329047203063965
vitals_dbp_coeff,5.315247058868408
"labvalues_creatine_kinase,_mb_isoenzyme_mean",5.098999977111816
labvalues_alkaline_phosphatase_mean,4.895106315612793
labvalues_potassium_max,4.702011585235596
labvalues_free_calcium_mean,4.697285175323486
vitals_temperature_std,4.6757988929748535
labvalues_hematocrit_mean,4.670591354370117
vitals_temperature_max,4.649367332458496
demographics_ethnicity_black/african,4.422216892242432
labvalues_alanine_aminotransferase_(alt)_mean,4.2589335441589355
labvalues_creatine_kinase_(ck)_mean,4.212654113769531
labvalues_magnesium_min,4.08660888671875
vitals_resprate_rate_change,4.073439598083496
labvalues_platelet_count_min,4.001237869262695
labvalues_chloride_mean,3.928196668624878
labvalues_potassium_mean,3.688328742980957
labvalues_hematocrit_min,3.387601375579834
labvalues_hemoglobin_mean,3.310015916824341
vitals_resprate_first,2.823608636856079
labvalues_creatinine_max,2.7824316024780273
vitals_dbp_min,2.6892802715301514
labvalues_glucose_first,2.605151653289795
vitals_resprate_last,2.5961055755615234
labvalues_neutrophils_min,2.556457281112671
labvalues_oxygen_saturation_min,2.445077419281006
labvalues_oxygen_saturation_last,2.2750918865203857
vitals_dbp_max,2.184241771697998
labvalues_bands_mean,2.11700439453125
labvalues_pt_max,1.562549114227295
vitals_dbp_mean,1.5609397888183594
demographics_ethnicity_hispanic/latino,1.4750325679779053
vitals_temperature_coeff,0.8575210571289062
labvalues_absolute_lymphocyte_count_mean,0.8343391418457031
labvalues_oxygen_saturation_mean,0.7006740570068359
labvalues_inr(pt)_first,0.0
labvalues_inr(pt)_std,0.0
labvalues_neutrophils_median,0.0
labvalues_inr(pt)_last,0.0
labvalues_magnesium_coeff,0.0
labvalues_magnesium_last,0.0
labvalues_white_blood_cells_rate_change,0.0
labvalues_basophils_last,0.0
labvalues_basophils_first,0.0
labvalues_basophils_std,0.0
labvalues_basophils_min,0.0
labvalues_basophils_median,0.0
labvalues_base_excess_coeff,0.0
labvalues_urea_nitrogen_std,0.0
labvalues_urea_nitrogen_min,0.0
labvalues_magnesium_rate_change,0.0
labvalues_base_excess_std,0.0
labvalues_base_excess_median,0.0
labvalues_bands_coeff,0.0
labvalues_bands_rate_change,0.0
labvalues_white_blood_cells_coeff,0.0
labvalues_hematocrit_coeff,0.0
labvalues_hematocrit_rate_change,0.0
labvalues_hematocrit_first,0.0
labvalues_hematocrit_std,0.0
labvalues_inr(pt)_rate_change,0.0
labvalues_base_excess_last,0.0
labvalues_creatinine_rate_change,0.0
labvalues_free_calcium_median,0.0
"labvalues_fibrinogen,_functional_coeff",0.0
"labvalues_fibrinogen,_functional_rate_change",0.0
"labvalues_fibrinogen,_functional_last",0.0
"labvalues_fibrinogen,_functional_first",0.0
"labvalues_fibrinogen,_functional_std",0.0
labvalues_basophils_rate_change,0.0
labvalues_lymphocytes_coeff,0.0
labvalues_lymphocytes_rate_change,0.0
"labvalues_fibrinogen,_functional_median",0.0
labvalues_eosinophils_coeff,0.0
labvalues_eosinophils_rate_change,0.0
labvalues_eosinophils_std,0.0
labvalues_eosinophils_median,0.0
labvalues_lactate_rate_change,0.0
labvalues_magnesium_mean,0.0
labvalues_hemoglobin_rate_change,0.0
labvalues_hemoglobin_median,0.0
labvalues_magnesium_max,0.0
labvalues_magnesium_median,0.0
labvalues_albumin_median,0.0
labvalues_alanine_aminotransferase_(alt)_coeff,0.0
labvalues_alanine_aminotransferase_(alt)_rate_change,0.0
labvalues_creatinine_coeff,0.0
labvalues_neutrophils_std,0.0
labvalues_alanine_aminotransferase_(alt)_last,0.0
labvalues_alanine_aminotransferase_(alt)_first,0.0
