target,auroc,auprc,brier_score,mean_uncertainty,test_n,positive_rate
mortality_1d,0.9420467739260243,0.20359599138013543,0.0058939154259860516,0.004572732,6069,0.0065908716
icu_24h,0.8920444452453834,0.6219199387349434,0.06828857213258743,0.042163074,6051,0.12064122
cardiac_arrest,0.9649256198347107,0.41441773091531797,0.003703430527821183,0.0037924936,6080,0.0049342103
vasopressors,0.8875797470221631,0.09915056917406946,0.008345440961420536,0.0052257585,6080,0.008881579
