True_Label,MLP_Original_Probability,MLP_Platt_Scaling,MLP_Isotonic_Regression
1.0,0.004015246406197548,0.049338492554074666,0.001792114693671465
0.0,0.014552597887814045,0.05248642125733897,0.014825796708464622
0.0,0.005784670822322369,0.04985429208145169,0.001792114693671465
0.0,0.13336774706840515,0.10354037772675206,0.21910113096237183
0.0,0.14308713376522064,0.10925404103343742,0.21910113096237183
0.0,0.005954827647656202,0.049904162424052274,0.001792114693671465
0.0,0.023501217365264893,0.0553077940853976,0.030364371836185455
0.0,0.012787292711436749,0.051946132720807434,0.014825796708464622
0.0,0.06539438664913177,0.0705112093240015,0.0635538250207901
1.0,0.2003907561302185,0.14880589626217164,0.3571428656578064
0.0,0.040371570736169815,0.061018822318857247,0.04471544548869133
0.0,0.053330544382333755,0.06577545062821823,0.0635538250207901
0.0,0.02006964199244976,0.05420937214102032,0.014825796708464622
0.0,0.010964787565171719,0.05139385537707595,0.014825796708464622
0.0,0.009892859496176243,0.05107162532428097,0.0117647061124444
0.0,0.03143133595585823,0.057926810076518766,0.03999999910593033
0.0,0.041448354721069336,0.061401482777360454,0.05263157933950424
0.0,0.05083653703331947,0.06483399508501916,0.0635538250207901
0.0,0.006424473132938147,0.05004205364965805,0.001792114693671465
0.0,0.05394396185874939,0.06600894757352094,0.0635538250207901
0.0,0.06507214903831482,0.07038071208175563,0.0635538250207901
0.0,0.015150965191423893,0.05267075890699511,0.014825796708464622
1.0,0.14113035798072815,0.10808191883878826,0.21910113096237183
0.0,0.16005322337150574,0.1198913861161753,0.26923078298568726
0.0,0.00965914037078619,0.051001621775528715,0.0117647061124444
0.0,0.025636252015829086,0.05600174262531992,0.030364371836185455
0.0,0.011465748772025108,0.05154510676916909,0.014825796708464622
0.0,0.03502800688147545,0.059152647698000875,0.03999999910593033
0.0,0.0063872975297272205,0.05003112548868665,0.001792114693671465
0.0,0.08557382971048355,0.07914170439233623,0.12790697813034058
0.0,0.08745036274194717,0.07999160931699272,0.12790697813034058
0.0,0.019920384511351585,0.05416206559167611,0.014825796708464622
0.0,0.008237749338150024,0.05057783832367802,0.0060240961611270905
0.0,0.0297874566167593,0.057374506962235595,0.030364371836185455
0.0,0.26708531379699707,0.20890564490028835,0.41747573018074036
0.0,0.003653251798823476,0.04923359381934409,0.0
1.0,0.2120649665594101,0.15818434348795557,0.37681159377098083
1.0,0.2629309296607971,0.2046913983058122,0.41747573018074036
0.0,0.009422870352864265,0.05093094647841888,0.0117647061124444
0.0,0.010668548755347729,0.0513046118634569,0.014825796708464622
1.0,0.1288771629333496,0.10099087992551613,0.21910113096237183
0.0,0.006903809029608965,0.050183162187263354,0.001792114693671465
1.0,0.7312619090080261,0.823333672967009,0.7514792680740356
0.0,0.019877081736922264,0.05414834823916312,0.014825796708464622
0.0,0.05285234376788139,0.0655939567179281,0.0635538250207901
0.0,0.021268678829073906,0.05459081755832255,0.014825796708464622
1.0,0.18336819112300873,0.13595850719881458,0.2777777910232544
0.0,0.006625998765230179,0.050101333600748796,0.001792114693671465
1.0,0.27670690417289734,0.21890973968418703,0.41747573018074036
0.0,0.02195243537425995,0.05480946957636259,0.014825796708464622
1.0,0.6307966113090515,0.714590689797361,0.737864077091217
0.0,0.016781965270638466,0.053176326566671685,0.014825796708464622
0.0,0.028137538582086563,0.05682515053162218,0.030364371836185455
0.0,0.01381380669772625,0.0522596642275651,0.014825796708464622
0.0,0.04075846076011658,0.06115605542986138,0.05263157933950424
0.0,0.024093754589557648,0.05549957023221981,0.030364371836185455
0.0,0.08549386262893677,0.07910567030376855,0.12790697813034058
0.0,0.18685002624988556,0.13850794575725459,0.2777777910232544
0.0,0.09798204898834229,0.08491786371625688,0.12790697813034058
1.0,0.9705157279968262,0.9534131290111126,0.7514792680740356
0.0,0.023150019347667694,0.055194422614988706,0.030364371836185455
0.0,0.013553719036281109,0.05218005609056674,0.014825796708464622
0.0,0.05971977114677429,0.0682455619854132,0.0635538250207901
0.0,0.006534839980304241,0.050074510472605374,0.001792114693671465
0.0,0.010655295103788376,0.0513006225583376,0.014825796708464622
0.0,0.0351744145154953,0.05920305865217183,0.03999999910593033
0.0,0.027482807636260986,0.05660852435181512,0.030364371836185455
0.0,0.07116018235683441,0.07288428629061268,0.06666667014360428
0.0,0.007879226468503475,0.05047147344492099,0.001792114693671465
0.0,0.013814943842589855,0.05226001253891237,0.014825796708464622
