True_Label,MC_Dropout_Probability,MC_Dropout_Platt_Scaling,MC_Dropout_Isotonic_Regression
0.0,0.09727927297353745,0.06842193381333864,0.08130080997943878
1.0,0.6516954302787781,0.8134982633502288,0.7200000286102295
0.0,0.00930192694067955,0.036995243554958875,0.006849315017461777
1.0,0.36834049224853516,0.35105107094254917,0.353658527135849
1.0,0.044137805700302124,0.04730622838792922,0.05116279050707817
0.0,0.01819094456732273,0.039400149583476964,0.007610349915921688
0.0,0.004677281249314547,0.03580050180740832,0.005093378480523825
0.0,0.06068233400583267,0.05311205714084289,0.05116279050707817
0.0,0.24037490785121918,0.17406649300764668,0.24444444477558136
0.0,0.05163216590881348,0.0498574269530892,0.05116279050707817
0.0,0.0729941576719284,0.05786247865788925,0.05116279050707817
0.0,0.03273012861609459,0.0436598031088401,0.02500000037252903
0.0,0.0578528456389904,0.05207353233036844,0.05116279050707817
0.0,0.01297822967171669,0.03797225145751597,0.007610349915921688
0.0,0.01674388349056244,0.03899867741268321,0.007610349915921688
0.0,0.017413491383194923,0.039183963000759874,0.007610349915921688
0.0,0.20623049139976501,0.14080732793737333,0.21132075786590576
0.0,0.002839361084625125,0.03533607790783554,0.005093378480523825
0.0,0.08526816964149475,0.06299306877674313,0.08130080997943878
0.0,0.0578727088868618,0.052080755533329554,0.05116279050707817
0.0,0.04055404290556908,0.046130557093739345,0.04516129195690155
0.0,0.019726846367120743,0.039830604567352886,0.007610349915921688
0.0,0.08116509765386581,0.06123242047956675,0.051948051899671555
0.0,0.05399656668305397,0.050689011616165215,0.05116279050707817
0.0,0.011412851512432098,0.03755324554827848,0.006849315017461777
0.0,0.4376108646392822,0.47398745368132544,0.5062500238418579
0.0,0.02587439864873886,0.04159906988166282,0.024449877440929413
0.0,0.1255302131175995,0.08293837143390202,0.12678936123847961
0.0,0.15390509366989136,0.10028569950933376,0.12678936123847961
0.0,0.04758293181657791,0.04846322194156785,0.05116279050707817
0.0,0.02876960299909115,0.04245772670836458,0.024449877440929413
0.0,0.021087143570184708,0.04021560529588265,0.018691588193178177
0.0,0.025821976363658905,0.04158367666717203,0.024449877440929413
0.0,0.020235486328601837,0.03997414808553112,0.007610349915921688
0.0,0.007632278371602297,0.03655954392005846,0.005093378480523825
0.0,0.0369143933057785,0.04496504189930888,0.029702970758080482
0.0,0.04565156623721123,0.04781133329676624,0.05116279050707817
0.0,0.04910801723599434,0.0489839314815754,0.05116279050707817
0.0,0.028771378099918365,0.042458258326418793,0.024449877440929413
0.0,0.06377546489238739,0.05426970192658213,0.05116279050707817
0.0,0.053453341126441956,0.050496799307727804,0.05116279050707817
1.0,0.3528043329715729,0.3254429768690332,0.353658527135849
0.0,0.021761944517493248,0.04040791279469108,0.018691588193178177
0.0,0.0306882094591856,0.043036049429178526,0.024449877440929413
0.0,0.002226638374850154,0.03518254300116868,0.005093378480523825
0.0,0.26066142320632935,0.1966070467080781,0.3448275923728943
0.0,0.09191849082708359,0.06594732051107839,0.08130080997943878
0.0,0.05641065910458565,0.051551609024027285,0.05116279050707817
0.0,0.009067601524293423,0.0369337957944419,0.006849315017461777
1.0,0.05000869929790497,0.049293939090650885,0.05116279050707817
0.0,0.09180936217308044,0.06589781937218549,0.08130080997943878
0.0,0.3034490644931793,0.25115851719529786,0.3535911738872528
0.0,0.026285523548722267,0.04171998122384746,0.024449877440929413
0.0,0.003699368331581354,0.03555266609991655,0.005093378480523825
0.0,0.13906100392341614,0.09084154285475673,0.12678936123847961
0.0,0.020955858752131462,0.040178293246818306,0.018691588193178177
0.0,0.014834786765277386,0.038475019635481486,0.007610349915921688
1.0,0.24083350598812103,0.17455270985056995,0.24444444477558136
0.0,0.21087746322155,0.14499985071164567,0.21132075786590576
0.0,0.11514361202716827,0.07730148070049987,0.12678936123847961
