target,auroc,auprc,brier_score,mean_uncertainty,test_n,positive_rate
mortality_1d,0.8551687676231547,0.09684858177060468,0.0358569361269474,0.03274184,6069,0.0065908716
icu_24h,0.8731827625356239,0.4512801151619227,0.10745331645011902,0.20297089,6051,0.12064122
icu_24h,0.9409752066115702,0.1720303401715391,0.029439132660627365,0.018166816,6080,0.0049342103
vasopressors,0.8711770599009231,0.0598136058126529,0.03178026154637337,0.05148619,6080,0.008881579
