prob_thr,strategy,model,base_sensitivity,best_q_thr,sensitivity,FP_reduction_pct,TP,FP,FN,TN,AUROC,Brier
0.17,Simple,LR,0.7497,-,<0.80,-,-,-,-,-,0.8419,0.1273
0.17,CrossFit,LR,0.7497,-,<0.80,-,-,-,-,-,0.8424,0.1271
0.17,Simple,MLP,0.7497,-,<0.80,-,-,-,-,-,0.8991,0.0965
0.17,CrossFit,MLP,0.7497,-,<0.80,-,-,-,-,-,0.9051,0.0939
0.17,Simple,XGB,0.7497,-,<0.80,-,-,-,-,-,0.918,0.0854
0.17,CrossFit,XGB,0.7497,-,<0.80,-,-,-,-,-,0.9182,0.0852
0.18,Baseline,-,0.7305,-,0.7305,0.0,610,898,225,4336,-,-
0.18,Simple,LR,0.7305,-,<0.80,-,-,-,-,-,0.8404,0.122
0.18,CrossFit,LR,0.7305,-,<0.80,-,-,-,-,-,0.8405,0.1221
0.18,Simple,MLP,0.7305,-,<0.80,-,-,-,-,-,0.893,0.0962
0.18,CrossFit,MLP,0.7305,-,<0.80,-,-,-,-,-,0.8997,0.0933
0.18,Simple,XGB,0.7305,-,<0.80,-,-,-,-,-,0.9113,0.0852
0.18,CrossFit,XGB,0.7305,-,<0.80,-,-,-,-,-,0.9115,0.085
0.19,Baseline,-,0.7114,-,0.7114,0.0,594,811,241,4423,-,-
0.19,Simple,LR,0.7114,-,<0.80,-,-,-,-,-,0.8364,0.118
0.19,CrossFit,LR,0.7114,-,<0.80,-,-,-,-,-,0.8381,0.1176
0.19,Simple,MLP,0.7114,-,<0.80,-,-,-,-,-,0.8811,0.1035
0.19,CrossFit,MLP,0.7114,-,<0.80,-,-,-,-,-,0.8919,0.0929
0.19,Simple,XGB,0.7114,-,<0.80,-,-,-,-,-,0.9046,0.0851
0.19,CrossFit,XGB,0.7114,-,<0.80,-,-,-,-,-,0.9047,0.0849
0.2,Baseline,-,0.685,-,0.685,0.0,572,752,263,4482,-,-
0.2,Simple,LR,0.685,-,<0.80,-,-,-,-,-,0.8337,0.1163
0.2,CrossFit,LR,0.685,-,<0.80,-,-,-,-,-,0.8354,0.1156
0.2,Simple,MLP,0.685,-,<0.80,-,-,-,-,-,0.8879,0.0925
0.2,CrossFit,MLP,0.685,-,<0.80,-,-,-,-,-,0.888,0.0924
0.2,Simple,XGB,0.685,-,<0.80,-,-,-,-,-,0.9011,0.0851
0.2,CrossFit,XGB,0.685,-,<0.80,-,-,-,-,-,0.9013,0.0849
